dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,update_time_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers
skewed_100k_1m,directed,no_inv_static,8,2,16,5,0.024083000,0.195918000,0.022194000,0.921562928,0.000501000,0.017437000,0.004622000,0.018999000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,6,0.023511000,0.193264000,0.021762000,0.925609289,0.000339000,0.016921000,0.004639000,0.018382000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,7,0.021266000,0.195583000,0.019602000,0.921753033,0.000452000,0.015779000,0.003743000,0.017157000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,8,0.022605000,0.227102000,0.020963000,0.927361203,0.000537000,0.017041000,0.003809000,0.018406000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,9,0.022710000,0.212151000,0.021075000,0.928005284,0.000392000,0.017066000,0.003922000,0.018407000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,8,2,16,10,0.026679000,0.203928000,0.024888000,0.932868548,0.000327000,0.019709000,0.005047000,0.021186000,20,1.084202e-19,PASS,12500,12500.00,12500,34783,125000.00,754848,6.039,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,1,0.023359000,0.217169000,0.022211000,0.950854061,0.000568000,0.017692000,0.004367000,0.018550000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,2,0.024250000,0.196182000,0.023012000,0.948948454,0.000736000,0.018075000,0.004690000,0.018988000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,3,0.023826000,0.193425000,0.022487000,0.943800890,0.000914000,0.017414000,0.004943000,0.018441000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,4,0.025707000,0.204550000,0.024326000,0.946279224,0.000818000,0.019126000,0.005541000,0.019691000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,5,0.022442000,0.204749000,0.021328000,0.950360930,0.000716000,0.016373000,0.004684000,0.017240000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,6,0.021401000,0.218890000,0.020296000,0.948366899,0.000741000,0.015863000,0.004278000,0.016679000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,7,0.022360000,0.189405000,0.021228000,0.949373882,0.000680000,0.016985000,0.004080000,0.017816000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,8,0.023283000,0.214206000,0.022031000,0.946226861,0.000722000,0.017356000,0.004464000,0.018309000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,9,0.024006000,0.198548000,0.022805000,0.949970841,0.000455000,0.017339000,0.005307000,0.018230000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,16,1,16,10,0.021408000,0.198337000,0.020318000,0.949084454,0.000434000,0.015886000,0.004242000,0.016714000,20,1.084202e-19,PASS,6250,6250.00,6250,17257,62500.00,737422,11.799,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,inv_static,1,1,1,1,0.039182000,0.199122000,0.000482000,0.012301567,0.000003000,0.000005000,0.000474000,0.036184000,20,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,inv_static,1,1,1,2,0.036189000,0.192815000,0.000431000,0.011909696,0.000004000,0.000006000,0.000421000,0.032967000,20,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,inv_static,1,1,1,3,0.041487000,0.208516000,0.000422000,0.010171861,0.000003000,0.000006000,0.000413000,0.038211000,20,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,inv_static,1,1,1,4,0.037716000,0.198389000,0.000402000,0.010658606,0.000003000,0.000005000,0.000393000,0.034705000,20,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
skewed_100k_1m,directed,inv_static,1,1,1,5,0.038041000,0.200960000,0.000400000,0.010514971,0.000003000,0.000006000,0.000391000,0.035088000,20,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,1000000,1000000.00,1000000,1.000000,1
